name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Anthony Davis","New Orleans Pelicans",2018-01-22,2017,6583,1610612740,400975438,4,0,22,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",2,9,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-11-10,2017,3442,1610612746,400974923,4,4,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",5,3,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-02-25,2017,6583,1610612740,400975639,1,8,45,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",2,11,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-11-29,2017,6430,1610612750,400975060,2,3,46,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"New Orleans Pelicans",12,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-03,2017,3202,1610612744,400975086,2,1,58,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Miami Heat",-12,1,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-10-26,2017,3442,1610612746,400974819,2,3,45,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Portland Trail Blazers",2,22,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-25,2017,1966,1610612739,400975840,4,5,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",-7,4,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2017-12-29,2017,3442,1610612746,400975275,3,6,10,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Los Angeles Lakers",16,24,0,0.00,,0.00,0.00
"Al Horford","Boston Celtics",2017-11-30,2017,3213,1610612738,400975065,2,0,42,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Philadelphia 76ers",8,24,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-10-18,2017,4237,1610612764,400974439,4,5,29,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Philadelphia 76ers",6,11,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-02-05,2017,3442,1610612746,400975542,1,2,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",1,5,0,0.00,,0.00,0.00
